"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"800 BLOCK OF 5TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001009603"
"1100 BLOCK OF RAUM STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007408"
"1900 BLOCK OF 18TH STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001007605"
"600 BLOCK OF N STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009102"
"300 BLOCK OF 54TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001006400"
"700 BLOCK OF NEWTON PLACE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001007604"
"6000 BLOCK OF CLAY STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009803"
"UNIT BLOCK OF GALLATIN STREET NE WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001007804"
"1500 BLOCK OF C STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007804"
"2100 BLOCK OF H STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001009602"
"300 BLOCK OF 62ND STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001010603"
"1600 BLOCK OF 27TH STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Exact","11001006400"
"1100 BLOCK OF 21ST STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001010602"
"5300 BLOCK OF DIX STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001008804"
"2700 BLOCK OF DOUGLAS PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001004202"
"600 BLOCK OF 12TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001004802"
"4300 BLOCK OF 3RD STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001007808"
"P STREET NW & 20TH STREET NW WASHINGTON, DC 20036 UNITED STATES","Match","Non_Exact","11001003100"
"900 BLOCK OF K STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007808"
"1300 BLOCK OF ORREN STREET NE WASHINGTON, DC 20002 UNITED STATES","No_Match","",NA
"1200 BLOCK OF MOUNT OLIVET ROAD NE WASHINGTON, DC 20002 UNITED STATES","No_Match","",NA
"2000 BLOCK OF I STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007901"
"600 BLOCK OF H STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001008904"
"900 BLOCK OF FLORIDA AVENUE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001007808"
"1400 BLOCK OF F STREET NW WASHINGTON, DC 20004 UNITED STATES","Match","Non_Exact","11001007604"
